symbol,industry
000001.SZ,银行
600036.SH,银行
601398.SH,银行
601288.SH,银行
601988.SH,银行
601166.SH,银行
600000.SH,银行
601328.SH,银行
000333.SZ,家电
000651.SZ,家电
600690.SH,家电
000100.SZ,家电
600030.SH,证券
600999.SH,证券
000776.SZ,证券
300059.SZ,证券
601688.SH,证券
600900.SH,电力
003816.SZ,电力
600905.SH,电力
601985.SH,电力
601318.SH,保险
601601.SH,保险
601336.SH,保险
600519.SH,白酒
000858.SZ,白酒
600809.SH,白酒
000568.SZ,白酒
002304.SZ,白酒
600276.SH,医药
300760.SZ,医药
600196.SH,医药
000538.SZ,医药
603259.SH,医药
300750.SZ,新能源
002594.SZ,新能源
300274.SZ,新能源
601012.SH,新能源
688981.SH,半导体
688111.SH,半导体
603501.SH,半导体
002415.SZ,半导体
000725.SZ,半导体
600519.SH,白酒
000002.SZ,地产
600048.SH,地产
001979.SZ,地产
600009.SH,交通运输
601111.SH,交通运输
600028.SH,石油石化
601857.SH,石油石化
600887.SH,食品饮料
603288.SH,食品饮料
000895.SZ,食品饮料
600585.SH,建材
601899.SH,有色金属
603993.SH,有色金属
600406.SH,电力设备
601728.SH,通信
600941.SH,通信
000063.SZ,通信
002230.SZ,计算机
600570.SH,计算机
